Time,Ax,Ay,Az
64.11,-0.98,0.03,-0.15
64.21,-0.98,0.03,-0.15
64.31,-0.97,0.03,-0.15
64.41,-0.97,0.03,-0.14
64.52,-0.97,0.03,-0.15
64.62,-0.97,0.03,-0.15
64.72,-0.98,0.03,-0.15
64.83,-0.98,0.03,-0.15
64.93,-0.97,0.03,-0.15
65.04,-0.97,0.03,-0.15
65.14,-0.98,0.03,-0.15
65.24,-0.97,0.04,-0.15
65.34,-0.97,0.03,-0.15
65.45,-0.97,0.03,-0.15
65.55,-0.98,0.03,-0.14
65.65,-0.98,0.03,-0.15
65.76,-0.97,0.03,-0.15
65.86,-0.97,0.03,-0.15
65.97,-0.98,0.03,-0.15
66.07,-0.98,0.03,-0.15
66.17,-0.97,0.03,-0.15
66.28,-0.97,0.03,-0.15
66.38,-0.98,0.03,-0.15
66.48,-0.98,0.03,-0.15
66.58,-0.98,0.03,-0.15
66.69,-0.97,0.04,-0.15
66.79,-0.97,0.04,-0.15
66.89,-0.97,0.03,-0.14
67.00,-0.97,0.04,-0.15
67.10,-0.97,0.03,-0.15
67.21,-0.97,0.03,-0.15
67.31,-0.98,0.03,-0.15
67.41,-0.98,0.04,-0.15
67.52,-0.97,0.03,-0.15
67.62,-0.97,0.03,-0.15
67.72,-0.98,0.03,-0.14
67.83,-0.97,0.03,-0.15
67.93,-0.97,0.03,-0.15
68.03,-0.97,0.04,-0.15
68.14,-0.98,0.03,-0.15
68.24,-0.98,0.03,-0.15
68.34,-0.97,0.04,-0.15
68.45,-0.97,0.03,-0.15
68.55,-0.97,0.03,-0.15
68.65,-0.98,0.03,-0.15
68.76,-0.98,0.03,-0.15
68.86,-0.97,0.03,-0.15
68.96,-0.97,0.03,-0.15
69.07,-0.98,0.03,-0.15
69.17,-0.98,0.03,-0.15
69.27,-0.97,0.03,-0.15
69.38,-0.98,0.03,-0.15
69.48,-0.97,0.04,-0.15
69.58,-0.97,0.03,-0.15
69.69,-0.97,0.03,-0.15
69.79,-0.97,0.03,-0.15
69.89,-0.97,0.03,-0.15
70.00,-0.97,0.03,-0.15
70.10,-0.97,0.03,-0.15
70.20,-0.98,0.03,-0.15
70.31,-0.98,0.03,-0.15
70.41,-0.97,0.03,-0.15
70.51,-0.97,0.03,-0.15
70.62,-0.97,0.03,-0.15
70.72,-0.97,0.03,-0.14
70.82,-0.97,0.03,-0.15
70.93,-0.97,0.03,-0.14
71.03,-0.97,0.03,-0.15
71.13,-0.97,0.03,-0.15
71.24,-0.97,0.04,-0.15
71.34,-0.97,0.03,-0.15
71.44,-0.97,0.03,-0.15
71.55,-0.97,0.03,-0.15
71.65,-0.98,0.03,-0.15
71.75,-0.98,0.03,-0.15
